//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;K-BUS diagnostics;;K-BUS diagnostics;%IB0;Kbus
;K-BUS error;;K-BUS general error flag;%IX0.0;Kbus
;_PW 1;;Input value signed 1;%IW1;_8AI_0_4_20mA_SE
;_PW 2;;Input value signed 2;%IW2;_8AI_0_4_20mA_SE
;_PW 3;;Input value signed 3;%IW3;_8AI_0_4_20mA_SE
;_PW 4;;Input value signed 4;%IW4;_8AI_0_4_20mA_SE
;_PW 5;;Input value signed 5;%IW5;_8AI_0_4_20mA_SE
;_PW 6;;Input value signed 6;%IW6;_8AI_0_4_20mA_SE
;_PW 7;;Input value signed 7;%IW7;_8AI_0_4_20mA_SE
;_PW 8;;Input value signed 8;%IW8;_8AI_0_4_20mA_SE
;_OUT;;Output Channels;%QB0;_8DO_24_VDC_0_5A
;_OUT@1;;Digital output;%QX0.0;_8DO_24_VDC_0_5A
;_OUT@2;;Digital output;%QX0.1;_8DO_24_VDC_0_5A
;_OUT@3;;Digital output;%QX0.2;_8DO_24_VDC_0_5A
;_OUT@4;;Digital output;%QX0.3;_8DO_24_VDC_0_5A
;_OUT@5;;Digital output;%QX0.4;_8DO_24_VDC_0_5A
;_OUT@6;;Digital output;%QX0.5;_8DO_24_VDC_0_5A
;_OUT@7;;Digital output;%QX0.6;_8DO_24_VDC_0_5A
;_OUT@8;;Digital output;%QX0.7;_8DO_24_VDC_0_5A
;status byte S0;;status byte S0;%IB18;Servo_Stepper_Controller_55_VDC_7_5A
;speed;;speed;%IW10;Servo_Stepper_Controller_55_VDC_7_5A
;process value;;process value;%IB22;Servo_Stepper_Controller_55_VDC_7_5A
;process value[2];;process value;%IB22;Servo_Stepper_Controller_55_VDC_7_5A
;process value[3];;process value;%IB23;Servo_Stepper_Controller_55_VDC_7_5A
;process value[4];;process value;%IB24;Servo_Stepper_Controller_55_VDC_7_5A
;process value[5];;process value;%IB25;Servo_Stepper_Controller_55_VDC_7_5A
;process value[6];;process value;%IB26;Servo_Stepper_Controller_55_VDC_7_5A
;status byte S3;;status byte S3;%IB27;Servo_Stepper_Controller_55_VDC_7_5A
;status byte S2;;status byte S2;%IB28;Servo_Stepper_Controller_55_VDC_7_5A
;status byte S1;;status byte S1;%IB29;Servo_Stepper_Controller_55_VDC_7_5A
;control byte C0;;control byte C0;%QB2;Servo_Stepper_Controller_55_VDC_7_5A
;speed@1;;speed;%QW2;Servo_Stepper_Controller_55_VDC_7_5A
;acceleration;;acceleration;%QW3;Servo_Stepper_Controller_55_VDC_7_5A
;process value@1;;process value;%QB8;Servo_Stepper_Controller_55_VDC_7_5A
;process value[4]@1;;process value;%QB8;Servo_Stepper_Controller_55_VDC_7_5A
;process value[5]@1;;process value;%QB9;Servo_Stepper_Controller_55_VDC_7_5A
;process value[6]@1;;process value;%QB10;Servo_Stepper_Controller_55_VDC_7_5A
;control byte C3;;control byte C3;%QB11;Servo_Stepper_Controller_55_VDC_7_5A
;control byte C2;;control byte C2;%QB12;Servo_Stepper_Controller_55_VDC_7_5A
;control byte C1;;control byte C1;%QB13;Servo_Stepper_Controller_55_VDC_7_5A
;status byte S0;;status byte S0;%IB30;Servo_Stepper_Controller_55_VDC_7_5A_1
;speed;;speed;%IW16;Servo_Stepper_Controller_55_VDC_7_5A_1
;process value;;process value;%IB34;Servo_Stepper_Controller_55_VDC_7_5A_1
;process value[2];;process value;%IB34;Servo_Stepper_Controller_55_VDC_7_5A_1
;process value[3];;process value;%IB35;Servo_Stepper_Controller_55_VDC_7_5A_1
;process value[4];;process value;%IB36;Servo_Stepper_Controller_55_VDC_7_5A_1
;process value[5];;process value;%IB37;Servo_Stepper_Controller_55_VDC_7_5A_1
;process value[6];;process value;%IB38;Servo_Stepper_Controller_55_VDC_7_5A_1
;status byte S3;;status byte S3;%IB39;Servo_Stepper_Controller_55_VDC_7_5A_1
;status byte S2;;status byte S2;%IB40;Servo_Stepper_Controller_55_VDC_7_5A_1
